순위,name,date,money,pop,스크린수,상영횟수,대표국적,국적,배급사
117,메이즈 러너: 스코치 트라이얼,2015-09-16,"21,596,946,349","2,744,413",804,"58,725",미국,미국,이십세기폭스코리아(주)
118,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,"23,455,591,186","2,736,060","1,218","63,801",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
119,핸콕,2008-07-02,"17,844,690,500","2,722,574",602,"60,236",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
120,나우 유 씨 미 : 마술사기단,2013-08-22,"19,146,757,869","2,718,237",691,"54,660",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
121,미스 페레그린과 이상한 아이들의 집,2016-09-28,"21,841,214,586","2,718,158",904,"70,451",미국,"미국,벨기에,영국",이십세기폭스코리아(주)
122,적벽대전 2 : 최후의 결전,2009-01-22,"17,782,372,500","2,694,436",426,"45,952",중국,중국,(주)쇼박스
123,지.아이.조 : 전쟁의 서막,2009-08-06,"19,583,593,500","2,665,886",446,"54,823",미국,미국,씨제이엔터테인먼트
124,브레이킹 던 part2,2012-11-15,"18,909,583,065","2,654,817",665,"56,995",미국,미국,(주)넥스트엔터테인먼트월드(NEW)
125,타이탄,2010-04-01,"21,799,968,500","2,643,969",694,"87,938",미국,미국,워너브러더스 코리아(주)
126,우주전쟁,2005-07-07,"16,759,599,690","2,643,153",401,"37,373",미국,미국,UIP코리아
127,미니언즈,2015-07-29,"19,000,798,778","2,626,097",792,"42,144",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
128,트랜스포머: 최후의 기사,2017-06-21,"21,501,959,228","2,614,601","1,739","87,234",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
129,하울의 움직이는 성,2004-12-23,"16,491,656,817","2,614,043",331,"37,465",일본,일본,"(주)이수C&E,(주)시네마서비스"
130,제이슨 본,2016-07-27,"21,253,434,663","2,611,966",827,"39,806",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
131,도리를 찾아서,2016-07-06,"20,704,149,933","2,601,761","1,091","55,116",미국,미국,월트디즈니컴퍼니코리아(주)
132,드래곤 길들이기,2010-05-20,"27,340,084,500","2,593,854",563,"59,056",미국,미국,"유니버설픽쳐스인터내셔널 코리아(유),씨제이엔터테인먼트"
133,퍼시픽 림,2013-07-11,"20,477,374,512","2,539,113","1,005","55,655",미국,미국,워너브러더스 코리아(주)
