순위,name,date,money,pop,스크린수,상영횟수,대표국적,국적,배급사
24,인터스텔라,2014-11-06,"82,669,061,000","10,309,432","1,410","169,432",미국,"미국,영국",워너브러더스 코리아(주)
25,겨울왕국,2014-01-16,"82,521,307,080","10,303,058","1,010","157,838",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
26,보헤미안 랩소디,2018-10-31,"86,280,975,785","9,948,386","1,179","232,226",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
27,검사외전,2016-02-03,"77,320,403,264","9,707,581","1,812","153,532",한국,한국,(주)쇼박스
28,엑시트,2019-07-31,"79,233,482,162","9,426,178","1,660","202,227",한국,한국,씨제이이앤엠(주)
29,설국열차,2013-08-01,"67,035,013,000","9,353,792","1,128","125,776",한국,"한국,체코",씨제이이앤엠(주)
30,관상,2013-09-11,"66,009,826,500","9,135,806","1,240","125,107",한국,한국,(주)쇼박스
31,아이언맨 3,2013-04-25,"70,809,259,500","9,001,679","1,389","163,596",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
32,캡틴 아메리카: 시빌 워,2016-04-27,"72,679,892,327","8,678,117","1,991","161,713",미국,미국,월트디즈니컴퍼니코리아(주)
33,해적: 바다로 간 산적,2014-08-06,"66,372,140,706","8,666,208",910,"133,354",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
34,수상한 그녀,2014-01-22,"62,720,514,849","8,660,623","1,027","137,007",한국,한국,씨제이이앤엠(주)
35,백두산,2019-12-19,"69,825,366,300","8,252,669","1,971","174,320",한국,한국,"씨제이이앤엠(주),(주)덱스터스튜디오"
36,과속스캔들,2008-12-03,"53,801,341,400","8,223,342",408,"145,556",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
37,국가대표,2009-07-29,"57,570,773,000","8,035,181",570,"131,671",한국,한국,(주)쇼박스
38,스파이더맨: 파 프롬 홈,2019-07-02,"69,030,020,600","8,023,326","2,142","181,024",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
39,디워,2007-08-01,"49,340,084,700","7,855,474",622,"96,439",한국,한국,(주)쇼박스
40,공조,2017-01-18,"63,783,303,326","7,817,654","1,392","142,991",한국,한국,씨제이이앤엠(주)
41,트랜스포머 3,2011-06-29,"74,842,906,588","7,785,189","1,409","124,464",미국,미국,씨제이이앤엠(주)
42,히말라야,2015-12-16,"60,175,363,015","7,759,761","1,095","142,715",한국,한국,씨제이이앤엠(주)
43,미션임파서블:고스트프로토콜,2011-12-15,"57,302,548,500","7,508,976","1,024","114,771",미국,미국,씨제이이앤엠(주)
44,밀정,2016-09-07,"61,270,079,831","7,500,457","1,444","138,162",한국,"한국,미국",워너브러더스 코리아(주)
45,최종병기 활,2011-08-10,"55,827,861,500","7,470,633",615,"130,055",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
46,트랜스포머,2007-06-28,"47,710,604,338","7,402,732",863,"92,704",미국,미국,씨제이엔터테인먼트
47,트랜스포머: 패자의 역습,2009-06-24,"50,699,866,000","7,393,443","1,154","115,150",미국,미국,씨제이엔터테인먼트
48,써니,2011-05-04,"54,038,534,700","7,363,139",546,"149,154",한국,한국,씨제이이앤엠(주)
49,스파이더맨: 홈 커밍,2017-07-05,"59,125,813,820","7,258,678","1,965","164,448",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
50,1987,2017-12-27,"58,169,976,145","7,232,412","1,299","138,227",한국,한국,씨제이이앤엠(주)
51,베를린,2013-01-30,"52,358,372,637","7,166,688",894,"111,760",한국,"한국,독일",씨제이이앤엠(주)
52,마스터,2016-12-21,"58,068,236,865","7,150,586","1,501","126,927",한국,한국,씨제이이앤엠(주)
53,터널,2016-08-10,"57,530,028,417","7,120,780","1,105","113,214",한국,한국,(주)쇼박스
54,어벤져스,2012-04-26,"59,634,896,458","7,087,068",967,"112,526",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜"
55,내부자들,2015-11-19,"56,605,193,557","7,073,581","1,129","152,783",한국,한국,(주)쇼박스
56,인천상륙작전,2016-07-27,"55,112,241,303","7,051,237","1,049","97,035",한국,한국,씨제이이앤엠(주)
57,럭키,2016-10-13,"56,445,323,256","6,975,631","1,234","155,991",한국,한국,(주)쇼박스
58,은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341","117,462",한국,한국,(주)쇼박스
59,범죄도시,2017-10-03,"56,322,153,349","6,880,546","1,315","149,389",한국,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
60,곡성,2016-05-12,"55,864,308,382","6,879,989","1,485","130,332",한국,"한국,미국",이십세기폭스코리아(주)
61,화려한 휴가,2007-07-25,"44,098,824,600","6,855,433",551,"96,536",한국,한국,씨제이엔터테인먼트
62,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,755,980,300","6,686,075",824,"93,589",한국,한국,씨제이엔터테인먼트
63,늑대소년,2012-10-31,"46,594,814,400","6,655,068",854,"109,166",한국,한국,씨제이이앤엠(주)
64,군함도,2017-07-26,"50,510,565,168","6,592,151","2,027","108,775",한국,한국,씨제이이앤엠(주)
65,미션 임파서블: 폴아웃,2018-07-25,"55,888,375,112","6,584,915","1,957","101,374",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
66,웰컴 투 동막골,2005-08-04,"40,329,355,500","6,436,900",356,"72,129",한국,한국,(주)쇼박스
67,다크 나이트 라이즈,2012-07-19,"47,675,463,500","6,399,303","1,210","81,273",미국,"미국,영국",워너브러더스 코리아(주)
68,사도,2015-09-16,"48,846,045,501","6,247,651","1,210","124,264",한국,한국,(주)쇼박스
69,아저씨,2010-08-04,"47,104,059,000","6,178,665",501,"109,891",한국,한국,씨제이엔터테인먼트
70,킹스맨 : 시크릿 에이전트,2015-02-11,"50,369,009,795","6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주)
71,미션 임파서블: 로그네이션,2015-07-30,"48,547,353,607","6,126,488","1,202","89,683",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
72,미녀는 괴로워,2006-12-14,"36,292,848,900","6,081,480",418,"87,141",한국,한국,(주)쇼박스
73,전우치,2009-12-23,"44,093,407,200","6,065,474",612,"102,357",한국,한국,씨제이엔터테인먼트
74,연평해전,2015-06-24,"45,567,755,830","6,045,049","1,013","114,489",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
75,인셉션,2010-07-21,"44,395,862,800","5,945,314",531,"89,898",미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
76,레미제라블,2012-12-19,"43,185,230,000","5,938,769",696,"85,092",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
77,캡틴 마블,2019-03-06,"51,507,488,723","5,802,810","2,100","186,382",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
78,타짜,2006-09-28,"36,182,617,500","5,685,715",492,"76,887",한국,한국,씨제이엔터테인먼트
79,쥬라기 월드: 폴른 킹덤,2018-06-06,"49,770,711,037","5,661,128","1,972","144,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
80,청년경찰,2017-08-09,"44,382,020,516","5,653,444","1,102","118,547",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
81,숨바꼭질,2013-08-14,"39,602,995,500","5,604,106",779,"88,066",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
82,덕혜옹주,2016-08-03,"44,397,617,609","5,599,995",964,"97,327",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
83,더 테러 라이브,2013-07-31,"39,870,954,381","5,584,295",809,"93,489",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
84,쥬라기 월드,2015-06-11,"47,804,159,826","5,547,463","1,290","119,248",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
85,감시자들,2013-07-03,"39,389,732,679","5,509,019",949,"100,349",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
86,앤트맨과 와스프,2018-07-04,"47,468,053,685","5,448,134","1,775","148,244",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
87,닥터 스트레인지,2016-10-26,"47,490,572,396","5,447,269","1,503","162,879",미국,미국,월트디즈니컴퍼니코리아(주)
88,검은 사제들,2015-11-05,"42,412,952,592","5,443,232","1,109","131,179",한국,한국,씨제이이앤엠(주)
89,안시성,2018-09-19,"46,342,006,026","5,441,020","1,540","110,444",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
90,의형제,2010-02-04,"40,154,381,000","5,416,923",569,"118,251",한국,한국,(주)쇼박스
91,블랙 팬서,2018-02-14,"45,885,729,957","5,399,327","1,620","119,180",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
92,2012,2009-11-12,"38,941,723,000","5,397,597",856,"89,309",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
93,더 킹,2017-01-18,"43,492,782,535","5,318,007","1,310","107,986",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
94,완득이,2011-10-20,"38,533,831,000","5,311,353",629,"117,850",한국,한국,씨제이이앤엠(주)
95,트랜스포머: 사라진 시대,2014-06-25,"44,012,752,845","5,295,836","1,602","107,875",미국,미국,씨제이이앤엠(주)
96,완벽한 타인,2018-10-31,"44,356,976,474","5,294,154","1,325","143,075",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
97,조커,2019-10-02,"45,443,092,130","5,255,308","1,418","148,270",미국,미국,워너브러더스 코리아(주)
98,월드 워 Z,2013-06-20,"38,589,794,000","5,244,336",964,"102,831",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
99,타워,2012-12-25,"37,656,008,000","5,181,244",638,"81,151",한국,한국,씨제이이앤엠(주)
100,미녀와 야수,2017-03-16,"42,133,751,579","5,138,328","1,627","140,561",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
101,미션 임파서블 3,2006-05-03,"32,155,201,400","5,127,047",441,"72,584",미국,미국,UIP코리아
102,투사부일체,2006-01-19,"31,959,686,000","5,074,314",407,"54,339",한국,한국,씨제이엔터테인먼트
103,쿵푸팬더 2,2011-05-26,"44,310,427,500","5,064,796",948,"101,447",미국,미국,씨제이이앤엠(주)
104,독전,2018-05-22,"43,486,831,113","5,063,844","1,532","140,008",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
105,추격자,2008-02-14,"33,986,959,000","5,046,096",433,"106,805",한국,한국,(주)쇼박스
106,아쿠아맨,2018-12-19,"44,136,382,204","5,040,430","1,285","105,412",미국,"미국,호주",워너브러더스 코리아(주)
107,공작,2018-08-08,"42,795,690,816","4,975,517","1,317","99,122",한국,한국,씨제이이앤엠(주)
108,인사이드 아웃,2015-07-09,"38,024,694,936","4,969,735",931,"84,000",미국,미국,월트디즈니컴퍼니코리아(주)
109,킹스맨: 골든 서클,2017-09-27,"40,987,484,736","4,945,484","1,687","95,922",미국,"미국,영국",이십세기폭스코리아(주)
110,바람과 함께 사라지다,2012-08-08,"34,614,720,161","4,909,950",694,"78,594",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
111,마션,2015-10-08,"39,702,034,175","4,887,144","1,132","115,967",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
112,토르: 라그나로크,2017-10-25,"39,261,266,595","4,858,572","1,640","137,496",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
113,어메이징 스파이더맨,2012-06-28,"41,165,656,235","4,853,273","1,118","92,766",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
114,"님아, 그 강을 건너지 마오",2014-11-27,"37,358,296,079","4,802,416",806,"93,456",한국,한국,"CGV아트하우스,(주)대명문화공장"
115,봉오동 전투,2019-08-07,"40,588,648,538","4,787,538","1,476","107,030",한국,한국,(주)쇼박스
116,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"35,841,769,500","4,786,259",634,"84,189",한국,한국,(주)쇼박스
117,군도: 민란의 시대,2014-07-23,"36,990,394,499","4,775,811","1,394","67,259",한국,한국,(주)쇼박스
118,남산의 부장들,2020-01-22,"41,224,394,650","4,750,208","1,659","140,050",한국,한국,(주)쇼박스
119,라이온 킹,2019-07-17,"41,519,457,430","4,743,264","1,936","126,496",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
120,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,540,977,500","4,720,172",713,"91,915",한국,한국,(주)쇼박스
121,주토피아,2016-02-17,"37,096,057,742","4,706,158",735,"131,005",미국,미국,월트디즈니컴퍼니코리아(주)
122,엣지 오브 투모로우,2014-06-04,"38,732,961,201","4,699,307",801,"94,559",미국,미국,워너브러더스 코리아(주)
123,신세계,2013-02-21,"34,920,100,285","4,689,161",671,"91,698",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
124,신비한 동물사전,2016-11-16,"39,339,534,058","4,667,179","1,431","115,843",미국,"미국,영국",워너브러더스 코리아(주)
125,도가니,2011-09-22,"35,567,476,000","4,662,926",756,"88,345",한국,한국,씨제이이앤엠(주)
126,쿵푸 팬더,2008-06-05,"29,998,150,000","4,654,266",563,"79,902",미국,미국,씨제이엔터테인먼트
127,내 아내의 모든 것,2012-05-17,"34,224,467,500","4,598,985",563,"91,777",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
128,스파이더맨 3,2007-05-01,"29,511,658,000","4,592,309",806,"79,966",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
129,판도라,2016-12-07,"36,069,197,064","4,585,116","1,184","100,273",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
130,맘마미아!,2008-09-03,"29,697,221,850","4,579,773",451,"111,827",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
131,나쁜 녀석들: 더 무비,2019-09-11,"39,560,195,124","4,573,902","1,511","113,938",한국,한국,씨제이이앤엠(주)
132,캐리비안의 해적: 세상의 끝에서,2007-05-23,"29,133,447,500","4,571,229",953,"78,007",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
133,가문의 위기(가문의 영광2),2005-09-07,"28,622,355,500","4,529,876",351,"61,009",한국,한국,(주)쇼박스
134,연가시,2012-07-05,"32,176,550,664","4,516,063",759,"71,932",한국,한국,씨제이이앤엠(주)
135,터미네이터 : 미래전쟁의 시작,2009-05-21,"29,690,943,500","4,499,776",702,"93,745",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
136,강철비,2017-12-14,"35,490,346,466","4,452,850","1,426","80,359",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
137,아이언맨 2,2010-04-29,"32,637,290,500","4,425,235",921,"87,672",미국,미국,씨제이엔터테인먼트
138,해리포터와 죽음의 성물2,2011-07-13,"34,668,545,500","4,421,210",757,"70,853",미국,미국,워너브러더스 코리아(주)
139,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,"34,654,558,766","4,313,871","1,056","82,722",미국,미국,이십세기폭스코리아(주)
140,강철중: 공공의 적 1-1,2008-06-19,"28,638,465,100","4,313,102",707,"74,158",한국,한국,"씨제이엔터테인먼트,(주)시네마서비스"
141,아이언맨,2008-04-30,"27,880,712,500","4,300,365",592,"78,269",미국,미국,씨제이엔터테인먼트
142,아가씨,2016-06-01,"35,221,312,991","4,289,008","1,171","90,393",한국,한국,씨제이이앤엠(주)
143,박물관이 살아있다!,2006-12-21,"24,401,542,200","4,245,247",345,"56,526",미국,미국,이십세기폭스코리아(주)
144,말아톤,2005-01-27,"26,285,057,000","4,196,859",238,"59,495",한국,한국,(주)쇼박스
145,다크 나이트,2008-08-06,"27,789,718,400","4,175,526",462,"68,394",미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
146,어메이징 스파이더맨 2,2014-04-23,"34,869,101,800","4,168,353","1,312","91,715",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
147,용의자,2013-12-24,"30,037,521,000","4,131,338",807,"69,124",한국,한국,(주)쇼박스
148,건축학개론,2012-03-22,"30,242,912,900","4,113,761",593,"106,582",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
149,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"26,689,440,000","4,111,753",771,"75,393",미국,미국,씨제이엔터테인먼트
150,미이라 3:황제의 무덤,2008-07-30,"26,217,311,000","4,090,885",634,"64,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
151,댄싱퀸,2012-01-18,"30,130,775,500","4,058,225",544,"80,987",한국,한국,씨제이이앤엠(주)
152,7급 공무원,2009-04-22,"26,380,710,000","4,039,891",475,"90,779",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
153,우리 생애 최고의 순간,2008-01-10,"26,119,898,000","4,018,872",418,"70,724",한국,한국,(주)싸이더스
154,꾼,2017-11-22,"31,313,568,795","4,018,341","1,314","117,419",한국,한국,(주)쇼박스
155,타짜-신의 손,2014-09-03,"32,373,120,927","4,015,361",890,"80,584",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
156,혹성탈출: 반격의 서막,2014-07-10,"31,514,053,095","4,002,560",956,"72,881",미국,미국,이십세기폭스코리아(주)
157,쿵푸팬더3,2016-01-28,"31,340,813,156","3,984,814","1,365","97,405",미국,미국,씨제이이앤엠(주)
158,캡틴 아메리카: 윈터 솔져,2014-03-26,"31,717,175,385","3,963,964","1,106","110,124",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
159,매드 맥스: 분노의 도로,2015-05-14,"33,649,857,862","3,914,023",799,"103,297",미국,"미국,호주",워너브러더스 코리아(주)
160,캐리비안의 해적 : 망자의 함,2006-07-06,"23,832,939,000","3,911,617",456,"49,648",미국,미국,브에나비스타인터내셔널코리아
161,박수건달,2013-01-09,"28,379,548,569","3,897,969",603,"60,604",한국,한국,(주)쇼박스
162,베놈,2018-10-03,"34,100,211,207","3,888,096","1,308","116,149",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
163,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428","3,872,015",825,"80,499",한국,한국,(주)쇼박스
164,역린,2014-04-30,"29,895,031,890","3,849,700","1,054","83,304",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
165,남한산성,2017-10-03,"31,225,419,792","3,849,129","1,229","71,102",한국,한국,씨제이이앤엠(주)
166,암수살인,2018-10-03,"32,998,321,048","3,789,553","1,177","126,128",한국,한국,(주)쇼박스
167,데드풀 2,2018-05-16,"34,185,664,639","3,784,602","1,576","113,288",미국,미국,이십세기폭스코리아(주)
168,국가부도의 날,2018-11-28,"30,893,315,837","3,755,233","1,180","101,077",한국,한국,씨제이이앤엠(주)
169,쌍화점,2008-12-30,"25,411,823,400","3,749,034",532,"72,498",한국,한국,(주)쇼박스
170,라라랜드,2016-12-07,"30,832,615,008","3,737,154",727,"112,297",미국,미국,판씨네마(주)
171,너의 이름은.,2017-01-04,"30,035,751,096","3,732,561",947,"86,492",일본,일본,메가박스중앙(주)플러스엠
172,신기전,2008-09-04,"24,326,406,000","3,728,439",585,"78,464",한국,한국,씨제이엔터테인먼트
173,해리 포터와 불사조 기사단,2007-07-11,"22,899,775,300","3,691,060",768,"52,349",미국,미국,워너브러더스 코리아(주)
174,미이라,2017-06-06,"30,504,689,978","3,689,325","1,257","105,228",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
175,82년생 김지영,2019-10-23,"30,305,744,310","3,679,019","1,486","145,461",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
176,분노의 질주: 더 익스트림,2017-04-12,"30,042,804,348","3,659,516","1,469","114,203",미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
177,분노의 질주: 홉스&쇼,2019-08-14,"32,241,767,793","3,657,536","1,311","94,896",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
178,인턴,2015-09-24,"28,522,202,348","3,611,166",659,"81,589",미국,미국,워너브러더스 코리아(주)
179,귀향,2016-02-24,"27,250,291,990","3,587,252",876,"90,289",한국,한국,(주)와우픽쳐스
180,리얼 스틸,2011-10-12,"26,566,677,000","3,579,666",603,"87,650",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
181,신의 한 수,2014-07-03,"28,812,027,456","3,566,852",794,"77,110",한국,한국,(주)쇼박스
182,코코,2018-01-11,"27,723,289,440","3,513,114","1,177","85,935",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
183,태풍,2005-12-14,"22,209,675,300","3,471,150",481,"47,155",한국,한국,씨제이엔터테인먼트
184,킹콩,2005-12-14,"21,476,688,172","3,470,059",319,"38,456",미국,미국,UIP코리아
185,비긴 어게인,2014-08-13,"27,303,786,821","3,463,210",525,"86,426",미국,미국,판씨네마(주)
186,부러진 화살,2012-01-18,"25,938,096,000","3,460,212",530,"71,607",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
187,끝까지 간다,2014-05-29,"27,007,683,900","3,450,381",645,"84,901",한국,한국,(주)쇼박스
188,어바웃 타임,2013-12-05,"25,255,473,800","3,441,657",568,"66,427",영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
189,스파이,2013-09-05,"24,513,098,305","3,436,092",785,"72,805",한국,"한국,태국",씨제이이앤엠(주)
190,해리포터와 불의 잔,2005-12-01,"21,464,160,900","3,430,975",504,"43,063",미국,미국,워너브러더스 코리아(주)
191,그것만이 내 세상,2018-01-17,"27,456,960,382","3,420,199",956,"95,438",한국,한국,씨제이이앤엠(주)
192,토이 스토리 4,2019-06-20,"28,763,352,540","3,400,623","1,336","85,913",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
193,돈,2019-03-20,"28,870,244,062","3,389,125","1,431","120,809",한국,한국,(주)쇼박스
194,맨 인 블랙 3,2012-05-24,"27,301,520,070","3,379,762",770,"69,538",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
195,악인전,2019-05-15,"29,133,760,150","3,364,712","1,307","97,351",한국,한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹"
196,이끼,2010-07-14,"25,437,344,000","3,350,311",740,"58,200",한국,한국,씨제이엔터테인먼트
197,한반도,2006-07-13,"20,597,497,600","3,331,593",483,"49,539",한국,한국,씨제이엔터테인먼트
198,포화속으로,2010-06-16,"23,831,968,600","3,330,326",742,"80,093",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
199,슈퍼배드 3,2017-07-26,"24,217,091,019","3,324,874","1,057","59,388",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
200,데드풀,2016-02-17,"27,633,406,151","3,322,773","1,036","84,402",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
,,,,,,,,,
